frag_6349	-22.45 -16.66 -17.72
frag_1223	-14.22 -19.87 -19.13
frag_7036	72.75 69.89 72.50
frag_5911	23.76 25.03 24.34
frag_4872	4.30 -5.36 -3.27
frag_2525	11.65 12.93 12.65
frag_6242	10.18 9.07 10.03
frag_6058	4.69 3.80 5.57
frag_4005	-3.83 -1.11 -2.43
frag_0815	-27.15 -25.79 -25.32
frag_1666	4.37 -1.80 -0.31
frag_3559	0.78 -1.51 -0.75
frag_5315	10.60 7.68 9.14
frag_4918	17.75 12.34 10.49
frag_3469	-1.27 -4.06 -4.15
frag_0929	24.54 29.44 28.75
frag_1878	9.40 10.58 9.11
frag_3465	18.06 19.46 18.69
frag_2225	-1.34 3.66 4.54
frag_1457	8.12 12.06 11.51
frag_0287	21.02 24.54 23.37
frag_7078	69.05 61.48 62.62
frag_2967	1.83 6.60 4.03
frag_5338	-8.93 -14.21 -12.67
frag_3073	-18.60 -24.64 -23.07
frag_2417	-0.80 -1.82 -0.58
frag_5294	-10.14 -8.38 -7.93
frag_1766	-21.47 -29.32 -24.93
frag_0936	-4.57 -5.73 -4.48
frag_2376	9.77 11.76 12.78
frag_7126	-24.78 -21.90 -21.37
frag_4503	-17.07 -14.92 -14.83
frag_6985	-23.19 -25.25 -24.37
frag_5092	-27.36 -30.08 -28.01
frag_0052	25.02 26.99 26.48
frag_2340	6.45 5.54 5.33
frag_2505	0.56 1.84 1.28
frag_3607	-8.73 -8.39 -8.62
frag_5270	19.57 18.41 16.36
frag_1149	36.58 33.65 32.46
frag_1781	-19.88 -23.70 -21.52
frag_1571	-6.94 -6.24 -7.35
frag_2295	-1.96 0.89 0.21
frag_3151	4.59 -2.80 -1.54
frag_2638	-0.21 0.58 -0.40
frag_6219	22.19 19.95 17.40
frag_5845	25.72 29.52 27.08
frag_6040	22.30 24.42 22.25
frag_0746	-10.47 -7.34 -9.21
frag_0378	-16.32 -15.50 -15.73
frag_4835	-47.02 -45.78 -44.94
frag_3756	-21.73 -19.78 -21.41
frag_2262	-2.27 -4.39 -4.76
frag_2551	-2.96 -1.30 -0.50
frag_2962	22.99 27.22 26.22
frag_2296	-7.94 -1.07 -3.05
frag_5059	-26.35 -24.46 -24.21
frag_0976	5.85 -3.51 -2.39
frag_1773	-23.16 -22.65 -22.59
frag_6250	12.40 11.14 11.90
frag_4380	17.75 17.55 19.17
frag_6068	-19.19 -21.43 -18.28
frag_2109	-24.80 -22.09 -22.62
frag_2166	-4.88 -2.94 -3.87
frag_1283	-25.14 -27.25 -26.85
frag_6934	-28.11 -25.64 -27.56
frag_2093	23.66 24.31 26.92
frag_3619	-9.93 -7.23 -9.89
frag_3063	44.13 31.81 33.34
frag_4518	13.92 16.63 17.44
frag_2617	-16.09 -15.38 -15.60
frag_1212	-5.53 -10.83 -9.96
frag_0622	43.24 45.67 47.61
frag_1489	8.76 7.27 8.11
frag_0549	12.25 13.44 14.30
frag_1423	13.68 16.52 15.69
frag_4821	-26.93 -26.53 -26.42
frag_5761	-24.73 -25.93 -25.36
frag_1627	3.39 -5.42 -3.12
frag_3420	-22.02 -27.83 -26.12
frag_1803	2.48 -4.40 -2.75
frag_0722	35.70 38.47 37.95
frag_5253	-20.97 -22.40 -21.08
frag_1560	5.79 3.39 4.53
frag_6238	0.66 -3.08 -1.52
frag_3839	7.52 8.85 9.22
frag_6052	6.00 4.04 5.58
frag_6053	0.67 -1.28 0.72
frag_7140	-42.49 -43.50 -42.37
frag_0732	-8.46 -7.52 -7.06
frag_4829	-34.57 -38.40 -33.99
frag_3050	13.31 17.40 13.71
frag_1517	7.40 9.43 9.58
frag_3725	-32.80 -33.54 -33.08
frag_0207	-16.30 -14.77 -13.70
frag_6228	19.44 18.32 15.90
frag_5907	16.86 18.92 18.32
frag_2053	8.25 8.60 8.16
frag_4930	30.57 19.44 21.78
frag_4473	21.13 24.46 24.01
frag_0365	7.37 5.12 5.42
frag_0142	12.68 14.53 13.65
frag_0237	-13.52 -15.17 -14.90
frag_5579	13.11 12.81 12.93
frag_5634	26.71 27.49 24.88
frag_2942	8.71 7.53 9.35
frag_2462	9.72 8.24 8.59
frag_5494	-20.03 -16.38 -16.68
frag_5191	-11.84 -9.50 -10.35
frag_3800	-13.40 -10.90 -11.97
frag_1661	6.77 -2.57 -0.66
frag_2438	-20.08 -22.82 -20.53
frag_2669	14.05 12.18 13.15
frag_0259	27.69 29.00 30.16
frag_0201	19.28 22.53 21.79
frag_0988	14.58 12.85 10.31
frag_5097	-27.46 -27.09 -25.44
frag_0310	-6.45 -5.40 -6.61
frag_2120	15.63 20.40 20.18
frag_4390	-28.28 -31.56 -30.87
frag_0794	-17.77 -13.48 -15.55
frag_3567	41.11 40.87 40.54
frag_2715	1.01 1.78 1.97
frag_2089	4.81 5.79 6.60
frag_5764	-13.05 -10.47 -11.31
frag_2826	26.26 24.21 26.27
frag_1797	36.72 36.98 37.65
frag_3871	23.28 27.76 26.50
frag_3836	-31.42 -30.74 -30.22
frag_4851	-35.15 -39.03 -34.83
frag_6135	36.69 38.77 38.61
frag_2773	26.75 28.39 28.18
frag_4874	6.09 -4.82 -2.79
frag_2676	6.73 9.63 7.64
frag_7189	54.76 51.19 50.58
frag_6594	-20.04 -20.69 -18.51
frag_2315	-3.85 -4.30 -3.62
frag_2245	10.52 7.27 8.12
frag_6150	-15.89 -11.25 -11.95
frag_1957	0.09 -2.77 -2.03
frag_6524	-21.93 -20.08 -19.09
frag_0971	-2.69 -2.31 -1.31
frag_6906	-36.29 -35.92 -35.68
frag_6683	-6.25 -8.20 -10.40
frag_4289	-2.83 -3.32 -2.13
frag_4429	0.31 -3.22 -1.59
frag_0360	8.57 7.77 7.73
frag_5305	-5.35 -0.70 -3.62
frag_3452	-8.23 -7.18 -8.73
frag_6963	-36.30 -37.35 -37.59
frag_5910	16.86 18.21 18.37
frag_0154	-4.74 -4.98 -4.30
frag_3506	26.76 27.37 26.93
frag_6039	21.00 23.11 19.19
frag_1507	-12.21 -12.93 -13.54
frag_2725	-13.08 -9.27 -10.04
frag_6848	41.24 37.72 35.83
frag_0396	11.17 10.27 10.79
frag_4659	18.45 6.36 10.69
frag_2701	-5.85 -5.97 -5.94
frag_6571	-40.36 -41.89 -38.99
frag_7041	74.04 71.12 74.82
frag_5156	-26.88 -26.48 -25.63
frag_2446	-23.05 -24.96 -23.36
frag_2260	19.19 22.46 22.18
frag_2029	8.74 8.91 9.21
frag_7063	42.86 40.25 42.39
frag_0372	6.27 5.51 5.53
frag_4221	27.61 32.60 33.04
frag_5855	47.95 49.08 44.40
frag_0323	26.46 24.37 25.96
frag_2698	23.11 29.45 28.26
frag_1195	-6.88 -12.37 -11.36
frag_4251	7.69 13.05 10.68
frag_2640	4.63 2.62 3.03
frag_0807	-15.70 -16.49 -16.06
frag_6261	-14.41 -10.42 -11.56
frag_5275	-49.54 -48.10 -46.61
frag_2437	-26.49 -32.24 -27.99
frag_0197	-0.63 4.51 3.51
frag_0407	36.60 38.83 38.78
frag_3846	-7.60 -9.40 -8.37
frag_1374	15.42 19.75 18.30
frag_0208	19.88 21.49 21.35
frag_4135	16.75 19.85 18.62
frag_0540	7.23 6.44 4.86
frag_3381	28.83 28.40 29.20
frag_1900	-13.61 -12.96 -13.63
frag_4428	-13.72 -9.16 -10.99
frag_6915	-15.37 -7.47 -11.07
frag_0415	8.84 6.77 7.63
frag_6755	-14.42 -10.56 -9.67
frag_6012	28.34 18.97 21.84
frag_0361	11.26 9.84 10.58
frag_3118	39.08 33.11 33.18
frag_0313	13.36 18.34 17.42
frag_5271	-51.32 -47.39 -45.35
frag_1411	-7.87 -5.83 -7.94
frag_1956	4.59 0.57 1.03
frag_1898	-12.91 -12.32 -12.59
frag_0999	20.82 18.55 16.39
frag_6825	17.08 12.79 10.43
frag_5495	-2.20 1.60 0.60
frag_5026	-19.58 -14.98 -12.77
frag_1383	5.71 8.23 8.33
frag_2492	-1.42 0.92 -0.56
frag_7084	-23.81 -20.79 -21.60
frag_4412	-27.69 -32.22 -30.19
frag_6112	-9.79 -9.69 -9.35
frag_0416	33.18 34.90 36.03
frag_6388	-16.74 -14.53 -13.72
frag_1641	18.21 11.58 11.12
frag_0624	18.88 22.54 22.83
frag_3547	7.58 8.56 6.77
frag_3753	-4.04 -4.19 -5.49
frag_4846	-42.82 -39.27 -39.37
frag_0787	11.83 13.62 13.61
frag_0998	27.28 26.31 22.65
frag_5468	-5.46 -4.31 -4.19
frag_2435	2.70 0.65 0.79
frag_5705	-5.73 -7.83 -7.06
frag_7112	45.96 46.73 46.73
frag_0752	-10.26 -13.03 -12.10
frag_0859	3.87 7.01 5.56
frag_4933	12.57 8.83 6.19
frag_6552	-12.14 -12.27 -11.82
frag_2914	-45.07 -49.87 -44.73
frag_3582	26.29 27.17 28.26
frag_1950	-5.12 -4.61 -5.80
frag_3405	-15.81 -13.66 -14.36
frag_1701	-3.08 -7.09 -6.39
frag_3020	-14.33 -11.40 -12.28
frag_1845	-46.12 -45.25 -43.30
frag_5853	36.89 34.53 31.18
frag_2573	2.13 2.23 1.67
frag_6421	-16.86 -9.30 -7.38
frag_2209	12.49 14.84 12.07
frag_6334	-4.35 -2.19 -2.83
frag_0856	28.31 33.69 32.52
frag_3371	-3.56 0.19 -1.71
frag_3651	3.76 4.97 5.07
frag_5984	23.29 29.26 24.32
frag_6831	11.27 9.59 7.81
frag_2557	16.83 21.93 18.14
frag_1682	-0.75 -7.05 -5.34
frag_0609	11.69 11.51 13.30
frag_0353	2.00 -0.02 0.85
frag_4313	-18.20 -20.22 -18.96
frag_5265	29.54 30.60 27.08
frag_0668	5.85 3.02 4.84
frag_6286	-21.51 -16.49 -16.15
frag_5141	-24.47 -22.90 -22.79
frag_1574	-11.04 -13.16 -12.79
frag_6989	-33.65 -33.56 -33.47
frag_5713	-25.65 -23.62 -22.38
frag_3188	0.58 -2.98 -2.64
frag_5471	-9.24 -3.61 -5.67
frag_1260	-3.05 -5.25 -4.80
frag_4166	22.27 24.95 24.53
frag_0918	-2.61 -2.02 -1.48
frag_5917	-17.19 -14.27 -14.28
frag_4765	-18.14 -22.68 -19.84
frag_4396	-22.76 -22.28 -23.18
frag_0993	9.01 7.76 8.41
frag_2226	9.24 11.73 9.26
frag_2965	0.94 8.04 5.17
frag_1258	18.62 16.53 17.62
frag_3556	10.97 12.12 10.24
frag_5104	-26.79 -27.01 -25.37
frag_2645	-20.62 -23.92 -19.75
frag_2006	2.37 0.38 0.54
frag_6109	-26.24 -23.42 -23.61
frag_2918	-29.22 -28.82 -27.43
frag_0316	-8.48 -6.58 -7.83
frag_6713	-18.73 -15.72 -15.74
frag_4660	-6.62 -10.95 -10.10
frag_2855	-24.58 -28.58 -27.14
frag_0472	44.59 46.02 46.33
frag_6258	39.07 40.08 41.44
frag_6740	13.48 17.71 14.04
frag_0843	-35.06 -32.08 -31.66
frag_3956	-7.40 -5.44 -6.51
frag_1928	-9.46 -8.14 -7.60
frag_0581	33.18 34.20 32.90
frag_2216	-20.21 -23.23 -22.27
frag_2602	-23.54 -22.28 -21.97
frag_3334	-16.07 -22.47 -19.57
frag_0462	17.81 18.25 15.82
frag_6933	-12.29 -6.14 -9.65
frag_3219	-15.31 -12.74 -14.53
frag_2878	16.90 19.84 18.25
frag_0242	-14.66 -12.44 -14.24
frag_4699	9.70 7.89 8.33
frag_1535	94.45 78.77 81.05
frag_1357	2.45 3.09 3.05
frag_3078	24.64 16.77 17.58
frag_6078	-0.93 -5.79 -3.97
frag_5778	-24.96 -20.76 -20.63
frag_1779	13.15 12.04 13.08
frag_7019	-35.78 -35.92 -36.45
frag_6441	15.45 16.88 14.96
frag_6515	0.80 0.89 0.05
frag_5610	-47.77 -43.40 -41.62
frag_6374	3.76 4.29 5.10
frag_5382	1.66 4.42 5.01
frag_7186	54.51 54.52 54.75
frag_1332	-15.48 -17.49 -17.52
frag_6517	-19.57 -23.46 -18.47
frag_3989	46.17 45.31 46.89
frag_5201	30.56 30.54 28.68
frag_6763	-7.35 -2.92 -3.63
frag_0780	-5.15 -1.42 -1.96
frag_0175	34.01 39.41 38.72
frag_2129	-4.32 -5.43 -5.61
frag_4375	-9.22 -7.25 -8.15
frag_6294	9.56 11.28 12.31
frag_0969	2.82 -5.30 -4.52
